Job Id,Work Type,Job Title,Experience,Qualifications,Salary Range,location,Country,Role,Job Description
3225,Part-Time,Investment Analyst,0 to 9 Years,B.Tech,$62K-$106K,Kingston,Jamaica,Risk Analyst,"A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.. Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge. Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls."
3226,Intern,Systems Analyst,4 to 8 Years,PhD,$59K-$100K,Port Vila,Vanuatu,Business Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.. Business systems analysis Requirements gathering Process improvement. Focus on improving business processes through technology solutions. Conduct business process modeling and workflow analysis. Facilitate communication between business and IT stakeholders."
3227,Full-Time,Account Manager,5 to 8 Years,BA,$63K-$108K,Cockburn Town,Turks and Caicos Islands,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.. Client relationship management Customer service Communication skills. Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication."
3228,Temporary,Email Marketing Specialist,3 to 15 Years,B.Tech,$61K-$128K,Monrovia,Liberia,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.. Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail. Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance."
3229,Temporary,Substance Abuse Counselor,1 to 9 Years,B.Com,$58K-$121K,Gitega,Burundi,Recovery Coach,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.. Addiction recovery support Motivational interviewing Relapse prevention strategies. Offer ongoing support and guidance to individuals in recovery. Assist with relapse prevention strategies and coping skills. Foster a supportive and empathetic relationship."
3230,Intern,Aerospace Engineer,2 to 11 Years,M.Tech,$55K-$89K,Copenhagen,Denmark,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.. Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation. Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
3231,Part-Time,Network Security Specialist,4 to 13 Years,BCA,$56K-$117K,Belmopan,Belize,Security Operations Center (SOC) Analyst,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.. SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage. Work in SOC teams to monitor and respond to security incidents. Investigate and analyze security alerts and incidents. Maintain security documentation and incident reports."
3232,Temporary,Procurement Specialist,5 to 15 Years,BBA,$60K-$94K,Dhaka,Bangladesh,Procurement Manager,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.. Procurement strategies Supplier management Negotiation Cost analysis Supply chain management. Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services."
3233,Contract,Tax Consultant,4 to 9 Years,PhD,$62K-$129K,Quito,Ecuador,International Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.. International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency. Specialize in international tax law and cross-border tax issues. Provide guidance on international tax planning and transfer pricing. Ensure compliance with global tax regulations."
3234,Contract,Legal Advisor,4 to 9 Years,M.Tech,$58K-$95K,Tallinn,Estonia,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.. In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling. Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
3235,Contract,Financial Analyst,3 to 12 Years,M.Com,$57K-$93K,Yaounde,Cameroon,Financial Planner,"Financial Planners help clients achieve their financial goals by providing personalized financial advice and investment strategies. They assess clients financial situations, develop financial plans, and offer recommendations on savings, investments, and retirement planning.. Financial planning Investment strategy Retirement planning Tax knowledge. Assist clients with financial planning, investment strategies, and retirement planning. Conduct comprehensive financial assessments. Provide personalized financial advice and recommendations."
3236,Temporary,Aerospace Engineer,1 to 8 Years,B.Com,$65K-$97K,Antananarivo,Madagascar,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.. Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation. Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
3237,Contract,HR Coordinator,5 to 14 Years,B.Tech,$60K-$111K,Apia,American Samoa,Recruitment Coordinator,"Recruitment Coordinators support the hiring process by scheduling interviews, screening candidates, and assisting with onboarding. They ensure a smooth recruitment process and maintain candidate records.. Recruitment process Candidate screening Applicant tracking systems Communication. Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics."
3238,Intern,Landscape Architect,1 to 9 Years,BA,$55K-$122K,Yaounde,Cameroon,Residential Landscape Designer,"Create aesthetically pleasing and functional landscape designs for residential properties.. Landscape design Plant selection and care Hardscape design. Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
3239,Part-Time,Network Engineer,3 to 9 Years,BBA,$58K-$89K,Lilongwe,Malawi,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.. Network management Troubleshooting Network security IT certifications (e.g., CCNA). Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
3240,Part-Time,Supply Chain Manager,5 to 11 Years,MBA,$55K-$108K,Yerevan,Armenia,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.. Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency. Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
3241,Contract,Customer Service Representative,0 to 13 Years,B.Com,$61K-$112K,Yerevan,Armenia,Live Chat Support Agent,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions.. Live chat support Online customer communication Problem resolution. Offer real-time customer support through live chat or messaging platforms. Respond to customer inquiries promptly and accurately. Multitask and manage chat queues."
3242,Full-Time,Nurse Practitioner,5 to 15 Years,PhD,$65K-$89K,Manama,Bahrain,Acute Care Nurse Practitioner,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.. Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning. Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions."
3243,Full-Time,Psychologist,2 to 8 Years,M.Com,$58K-$84K,Yaren District (de facto),Nauru,School Psychologist,"School Psychologists work in educational settings, supporting students emotional and academic development. They provide counseling and assessments to enhance learning outcomes.. School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills. Work in educational settings to support students emotional and psychological well-being. Conduct assessments, provide counseling, and collaborate with educators. Assist in the development of individualized education plans."
3244,Intern,Sales Representative,1 to 12 Years,BBA,$57K-$83K,Port of Spain,Trinidad and Tobago,Inside Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.. Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building. Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process."
3245,Contract,Procurement Manager,5 to 9 Years,M.Tech,$55K-$117K,Tripoli,Libya,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.. Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen. Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting."
3246,Intern,Account Executive,5 to 10 Years,BBA,$56K-$124K,Rabat,Morocco,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.. Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge. Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas."
3247,Intern,Nurse Practitioner,5 to 12 Years,MBA,$59K-$103K,Dhaka,Bangladesh,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.. Family medicine Health assessment Pediatric care Chronic disease management Patient education. Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
3248,Contract,Data Engineer,4 to 9 Years,M.Com,$56K-$91K,Montevideo,Uruguay,Big Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.. Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing. Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance."
3249,Full-Time,Accountant,1 to 10 Years,MCA,$62K-$91K,The City of Hamilton,Bermuda,Financial Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.. Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge. Maintain financial records, prepare financial statements, and ensure compliance with accounting standards and regulations. Reconcile accounts and analyze financial data. Assist with financial audits."
3250,Part-Time,Family Lawyer,4 to 11 Years,M.Tech,$58K-$128K,Hagatna,Guam,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.. Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation. Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules."
3251,Full-Time,Procurement Specialist,2 to 13 Years,M.Tech,$56K-$118K,Amman,Jordan,Sourcing Analyst,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.. Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation. Identify and evaluate potential suppliers and sourcing opportunities. Analyze market trends and supplier performance. Negotiate contracts and terms with suppliers."
3252,Intern,Electrical Engineer,2 to 14 Years,M.Tech,$64K-$112K,Freetown,Sierra Leone,Electronics Hardware Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.. Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting. Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development."
3253,Part-Time,Legal Counsel,5 to 13 Years,BBA,$62K-$87K,Bandar Seri Begawan,Brunei,Intellectual Property Lawyer,"An Intellectual Property Lawyer specializes in protecting and managing intellectual property rights, including patents, trademarks, and copyrights. They provide legal advice, handle trademark registration, patent applications, and enforce IP rights.. Intellectual property law Trademark and patent law Copyright law IP portfolio management Litigation and dispute resolution. Protect and manage intellectual property rights, trademarks, patents, and copyrights. Conduct IP due diligence and trademark searches. Handle IP disputes and enforcement."
3254,Intern,Investment Banker,3 to 14 Years,BBA,$59K-$125K,Philipsburg,Sint Maarten (Dutch part),Financial Analyst,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.. Financial analysis Data analysis Financial modeling. Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies."
3255,Intern,Accountant,2 to 10 Years,PhD,$63K-$121K,San Salvador,El Salvador,Tax Accountant,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.. Tax preparation Tax planning Tax regulations Accounting Tax software proficiency. Prepare and file tax returns, provide tax planning advice, and address tax-related issues. Stay up-to-date on tax laws and regulations. Assist clients with tax compliance and planning."
3256,Temporary,Graphic Designer,0 to 12 Years,B.Tech,$60K-$80K,Bucharest,Romania,Print Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.. Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge. Design printed materials such as brochures, posters, and packaging. Choose appropriate printing methods and materials. Collaborate with print vendors and ensure quality output."
3257,Full-Time,Event Coordinator,5 to 11 Years,MCA,$59K-$80K,City of Baghdad,Iraq,Corporate Event Coordinator,"Coordinate corporate events, conferences, and meetings, handle logistics, and ensure a seamless experience for attendees.. Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail. Specialize in planning and managing corporate events, including meetings, seminars, and trade shows. Handle event marketing and branding. Oversee event registration and attendee experience."
3258,Intern,Pediatrician,0 to 10 Years,B.Com,$65K-$87K,Tashkent,Uzbekistan,General Pediatrician,"General Pediatricians provide medical care to infants, children, and adolescents. They diagnose and treat various pediatric conditions, offer preventive care, and educate patients and parents on child health and well-being.. Pediatrics Pediatric care Diagnosis and treatment Pediatric medical procedures Patient care Communication skills. Provide primary healthcare to infants, children, and adolescents. Conduct well-child check-ups, vaccinations, and screenings. Diagnose and treat illnesses and injuries in pediatric patients."
3259,Contract,Human Resources Manager,5 to 12 Years,BA,$60K-$97K,Apia,American Samoa,Talent Acquisition Manager,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.. Talent sourcing Interviewing Onboarding Recruitment strategies HR software. Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies."
3260,Temporary,Project Coordinator,3 to 12 Years,MCA,$59K-$122K,Copenhagen,Denmark,Administrative Coordinator,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.. Office administration Communication skills Organizational skills Time management Microsoft Office proficiency. Provide administrative support to project teams, including scheduling meetings, managing documents, and handling logistics. Prepare project reports and presentations. Track project budgets and expenses."
3261,Intern,Electrical Designer,1 to 10 Years,BCA,$60K-$123K,Baku,Azerbaijan,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.. Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge. Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design."
3262,Intern,Mechanical Engineer,2 to 12 Years,MBA,$61K-$130K,Athens,Greece,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.. Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping. Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
3263,Temporary,IT Administrator,5 to 15 Years,MBA,$56K-$92K,Helsinki,Finland,System Administrator,"System Administrators manage and maintain computer systems and networks. They handle software installations, security measures, and troubleshooting to ensure system reliability.. System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery. Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security."
3264,Full-Time,Quality Assurance Analyst,2 to 8 Years,M.Tech,$56K-$80K,Dhaka,Bangladesh,QA Tester,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.. Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing. Develop and execute test plans and test cases to identify software defects and issues. Document and report bugs, errors, and anomalies. Collaborate with development teams to resolve issues."
3265,Intern,Chemical Engineer,1 to 13 Years,BBA,$56K-$81K,Ngerulmud,Palau,Process Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.. Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge. Design and optimize chemical processes and production systems. Conduct experiments and analyze data. Ensure safety and environmental compliance."
3266,Intern,Operations Manager,3 to 9 Years,MCA,$60K-$96K,Pretoria,South Africa,Quality Control Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.. Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge. Establish and enforce quality control standards and procedures. Conduct quality audits and inspections. Collaborate with production teams to address quality issues and implement improvements."
3267,Temporary,Brand Manager,4 to 11 Years,PhD,$62K-$114K,Saint George's,Grenada,Brand Marketing Analyst,"A Brand Marketing Analyst analyzes market data and consumer behavior to assess the effectiveness of branding strategies. They provide insights to improve brand marketing efforts.. Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation. Analyze brand performance metrics and consumer behavior. Track marketing campaigns and assess their impact on brand perception. Provide insights and recommendations for brand improvement."
3268,Contract,SEO Specialist,0 to 11 Years,M.Com,$61K-$120K,Djibouti (city),Djibouti,Technical SEO Specialist,"Technical SEO Specialists optimize website infrastructure, addressing issues like site speed, mobile-friendliness, and structured data to enhance search engine visibility.. Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization. Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
3269,Contract,Nurse Practitioner,3 to 13 Years,M.Com,$55K-$116K,Oranjestad,Aruba,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.. Family medicine Health assessment Pediatric care Chronic disease management Patient education. Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
3270,Intern,Pediatrician,3 to 14 Years,M.Com,$63K-$92K,Singapore,Singapore,Pediatric Specialist,"Pediatric Specialists are doctors with expertise in specific pediatric subspecialties like cardiology, oncology, or gastroenterology. They provide specialized care and treatment for children with complex or rare medical conditions.. Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment. Specialize in a specific area of pediatric medicine, such as cardiology or neurology. Diagnose and treat complex medical conditions in children. Collaborate with other specialists for comprehensive care."
3271,Contract,Administrative Assistant,1 to 10 Years,B.Tech,$63K-$119K,Suva,Fiji,Data Entry Specialist,"Accurately input and maintain data in databases or spreadsheets, ensuring data integrity and organization.. Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency. Accurately enter and maintain data in databases or spreadsheets. Perform data verification and quality checks. Assist with data analysis and reporting."
3272,Contract,Human Resources Manager,0 to 13 Years,MBA,$58K-$94K,Tirana,Albania,Talent Acquisition Manager,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.. Talent sourcing Interviewing Onboarding Recruitment strategies HR software. Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies."
3273,Full-Time,Sales Manager,1 to 14 Years,BA,$61K-$109K,Skopje,"Macedonia, FYR",Sales Team Leader,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.. Sales leadership Team management Sales strategy and planning. Lead and manage a team of sales representatives. Set sales targets and goals. Provide coaching, training, and performance evaluations."
3274,Intern,Business Analyst,5 to 8 Years,B.Tech,$60K-$122K,Nuuk,Greenland,Data Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.. Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau). Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts."
3275,Part-Time,Art Director,4 to 11 Years,BCA,$56K-$110K,Ngerulmud,Palau,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.. Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness. Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
3276,Temporary,Environmental Engineer,5 to 8 Years,MCA,$62K-$110K,Panama City,Panama,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.. Sustainability practices Environmental management systems Green certifications. Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals."
3277,Intern,Network Engineer,1 to 13 Years,MBA,$57K-$85K,Tirana,Albania,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.. Network management Troubleshooting Network security IT certifications (e.g., CCNA). Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
3278,Intern,Architect,2 to 13 Years,BBA,$60K-$107K,Baku,Azerbaijan,Project Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.. Architectural project management Construction documents Building systems Design coordination Client communication. Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets."
3279,Temporary,Sales Consultant,3 to 10 Years,BCA,$64K-$99K,Thimphu,Bhutan,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.. B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research. Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
3280,Contract,Quality Assurance Analyst,2 to 12 Years,M.Tech,$60K-$103K,Bucharest,Romania,Quality Assurance Manager,"Quality Assurance Managers lead quality assurance teams, ensuring that products or services meet established quality standards. They develop QA processes, set quality goals, and monitor compliance to maintain quality excellence.. Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives. Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
3281,Part-Time,Marketing Specialist,5 to 13 Years,MBA,$64K-$120K,Bridgetown,Barbados,Digital Marketing Specialist,"Digital Marketing Specialists create and execute online marketing campaigns. They utilize digital channels like social media, email, and SEO to reach target audiences, generate leads, and improve brand visibility and engagement.. Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting. Develop and implement digital marketing campaigns across various channels, including SEO, SEM, and social media. Analyze campaign performance and adjust strategies for optimization. Manage digital advertising budgets."
3282,Full-Time,Registered Nurse,3 to 14 Years,B.Com,$61K-$122K,Berlin,Germany,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.. Nursing care Patient assessment Medical knowledge. Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
3283,Part-Time,Financial Advisor,2 to 15 Years,B.Tech,$63K-$99K,Yamoussoukro,Cote d'Ivoire,Investment Advisor,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.. Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance. Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies."
3284,Temporary,Market Research Analyst,3 to 15 Years,BA,$57K-$88K,Belmopan,Belize,Market Research Coordinator,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.. Market research coordination Survey design and administration Data analysis. Coordinate research projects, including participant recruitment and data collection. Collaborate with research teams and ensure project timelines are met. Maintain research databases and records."
3285,Temporary,Data Scientist,2 to 13 Years,MBA,$57K-$90K,Banjul,Gambia,Machine Learning Engineer,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.. Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation. Develop machine learning models and algorithms for data analysis and prediction. Preprocess and clean data for model training. Evaluate model performance and fine-tune parameters."
3286,Part-Time,HR Manager,0 to 8 Years,MCA,$64K-$124K,Accra,Ghana,Human Resources Director,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.. Strategic HR planning Employee relations Talent management HR policy development Leadership skills. Oversee all HR functions, including recruitment, benefits administration, employee relations, and policy development. Align HR strategies with business goals. Provide leadership to the HR team."
3287,Intern,Customer Service Representative,1 to 10 Years,BBA,$55K-$100K,Castries,St. Lucia,Call Center Agent,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone.. Customer service Call center operations Problem-solving skills. Handle incoming phone calls and provide information or assistance. Follow call scripts and procedures. Document and report call details."
3288,Temporary,Procurement Manager,0 to 13 Years,BBA,$55K-$99K,Georgetown,Guyana,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.. Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen. Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting."
3289,Temporary,Mechanical Engineer,2 to 9 Years,B.Tech,$59K-$98K,Kampala,Uganda,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.. Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping. Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
3290,Temporary,Mechanical Engineer,5 to 15 Years,BBA,$57K-$121K,Havana,Cuba,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.. Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping. Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
